"id","aluno","materia","professor","data","dificuldade","nota","status"
580,"Aluno 116","Matéria 9","Professor 7","2025-03-13","Médio","4.72","Reprovado"
581,"Aluno 117","Matéria 7","Professor 3","2025-03-13","Difícil","38.58","Reprovado"
582,"Aluno 117","Matéria 7","Professor 4","2025-03-13","Difícil","9.59","Reprovado"
583,"Aluno 117","Matéria 1","Professor 4","2025-03-13","Fácil","72.47","Aprovado"
584,"Aluno 117","Matéria 6","Professor 2","2025-03-13","Médio","55.80","Reprovado"
585,"Aluno 117","Matéria 10","Professor 9","2025-03-13","Difícil","1.39","Reprovado"
586,"Aluno 118","Matéria 7","Professor 4","2025-03-13","Difícil","62.11","Reprovado"
587,"Aluno 118","Matéria 6","Professor 5","2025-03-13","Médio","52.86","Reprovado"
588,"Aluno 118","Matéria 10","Professor 5","2025-03-13","Fácil","0.62","Reprovado"
589,"Aluno 118","Matéria 3","Professor 5","2025-03-13","Médio","71.35","Aprovado"
590,"Aluno 118","Matéria 8","Professor 3","2025-03-13","Difícil","72.51","Aprovado"
591,"Aluno 119","Matéria 9","Professor 9","2025-03-13","Difícil","62.66","Reprovado"
592,"Aluno 119","Matéria 10","Professor 3","2025-03-13","Fácil","28.75","Reprovado"
593,"Aluno 119","Matéria 9","Professor 7","2025-03-13","Fácil","33.51","Reprovado"
594,"Aluno 119","Matéria 8","Professor 8","2025-03-13","Difícil","39.79","Reprovado"
595,"Aluno 119","Matéria 3","Professor 4","2025-03-13","Fácil","38.03","Reprovado"
596,"Aluno 120","Matéria 10","Professor 9","2025-03-13","Difícil","64.41","Reprovado"
597,"Aluno 120","Matéria 2","Professor 7","2025-03-13","Fácil","29.19","Reprovado"
598,"Aluno 120","Matéria 6","Professor 1","2025-03-13","Difícil","47.84","Reprovado"
599,"Aluno 120","Matéria 1","Professor 3","2025-03-13","Médio","53.17","Reprovado"
600,"Aluno 120","Matéria 9","Professor 8","2025-03-13","Médio","30.74","Reprovado"
601,"Aluno 121","Matéria 4","Professor 7","2025-03-13","Difícil","77.90","Aprovado"
602,"Aluno 121","Matéria 10","Professor 3","2025-03-13","Difícil","65.01","Reprovado"
603,"Aluno 121","Matéria 7","Professor 2","2025-03-13","Difícil","69.64","Reprovado"
604,"Aluno 121","Matéria 4","Professor 4","2025-03-13","Difícil","84.34","Aprovado"
605,"Aluno 121","Matéria 6","Professor 3","2025-03-13","Médio","57.78","Reprovado"
606,"Aluno 122","Matéria 9","Professor 3","2025-03-13","Fácil","25.56","Reprovado"
607,"Aluno 122","Matéria 10","Professor 8","2025-03-13","Médio","96.32","Aprovado"
608,"Aluno 122","Matéria 6","Professor 10","2025-03-13","Médio","96.80","Aprovado"
609,"Aluno 122","Matéria 5","Professor 3","2025-03-13","Difícil","98.09","Aprovado"
610,"Aluno 122","Matéria 1","Professor 7","2025-03-13","Médio","14.71","Reprovado"
611,"Aluno 123","Matéria 3","Professor 8","2025-03-13","Difícil","32.06","Reprovado"
612,"Aluno 123","Matéria 3","Professor 8","2025-03-13","Médio","8.87","Reprovado"
613,"Aluno 123","Matéria 1","Professor 1","2025-03-13","Fácil","80.98","Aprovado"
614,"Aluno 123","Matéria 7","Professor 8","2025-03-13","Fácil","83.96","Aprovado"
615,"Aluno 123","Matéria 6","Professor 4","2025-03-13","Difícil","83.52","Aprovado"
616,"Aluno 124","Matéria 2","Professor 6","2025-03-13","Difícil","49.45","Reprovado"
617,"Aluno 124","Matéria 10","Professor 1","2025-03-13","Difícil","49.13","Reprovado"
618,"Aluno 124","Matéria 8","Professor 7","2025-03-13","Médio","97.64","Aprovado"
619,"Aluno 124","Matéria 10","Professor 2","2025-03-13","Fácil","76.00","Aprovado"
620,"Aluno 124","Matéria 7","Professor 7","2025-03-13","Difícil","79.07","Aprovado"
621,"Aluno 125","Matéria 6","Professor 6","2025-03-13","Fácil","59.21","Reprovado"
622,"Aluno 125","Matéria 7","Professor 8","2025-03-13","Médio","62.53","Reprovado"
623,"Aluno 125","Matéria 3","Professor 9","2025-03-13","Médio","65.77","Reprovado"
624,"Aluno 125","Matéria 3","Professor 10","2025-03-13","Fácil","28.17","Reprovado"
625,"Aluno 125","Matéria 10","Professor 5","2025-03-13","Fácil","79.77","Aprovado"
626,"Aluno 126","Matéria 10","Professor 4","2025-03-13","Difícil","61.39","Reprovado"
627,"Aluno 126","Matéria 7","Professor 9","2025-03-13","Fácil","32.65","Reprovado"
628,"Aluno 126","Matéria 1","Professor 10","2025-03-13","Fácil","78.39","Aprovado"
629,"Aluno 126","Matéria 10","Professor 4","2025-03-13","Médio","12.07","Reprovado"
630,"Aluno 126","Matéria 8","Professor 8","2025-03-13","Fácil","1.22","Reprovado"
631,"Aluno 127","Matéria 7","Professor 6","2025-03-13","Médio","71.49","Aprovado"
632,"Aluno 127","Matéria 2","Professor 10","2025-03-13","Difícil","59.71","Reprovado"
633,"Aluno 127","Matéria 8","Professor 6","2025-03-13","Difícil","49.58","Reprovado"
634,"Aluno 127","Matéria 6","Professor 1","2025-03-13","Fácil","70.28","Aprovado"
635,"Aluno 127","Matéria 5","Professor 5","2025-03-13","Fácil","76.06","Aprovado"
636,"Aluno 128","Matéria 9","Professor 10","2025-03-13","Fácil","53.03","Reprovado"
637,"Aluno 128","Matéria 7","Professor 6","2025-03-13","Médio","27.38","Reprovado"
638,"Aluno 128","Matéria 8","Professor 7","2025-03-13","Médio","41.18","Reprovado"
639,"Aluno 128","Matéria 2","Professor 10","2025-03-13","Médio","44.46","Reprovado"
640,"Aluno 128","Matéria 5","Professor 2","2025-03-13","Fácil","35.76","Reprovado"
641,"Aluno 129","Matéria 6","Professor 7","2025-03-13","Médio","91.83","Aprovado"
642,"Aluno 129","Matéria 5","Professor 3","2025-03-13","Médio","64.76","Reprovado"
643,"Aluno 129","Matéria 4","Professor 5","2025-03-13","Médio","6.31","Reprovado"
644,"Aluno 129","Matéria 7","Professor 2","2025-03-13","Difícil","33.18","Reprovado"
645,"Aluno 129","Matéria 4","Professor 6","2025-03-13","Médio","98.06","Aprovado"
646,"Aluno 130","Matéria 9","Professor 9","2025-03-13","Fácil","75.99","Aprovado"
647,"Aluno 130","Matéria 7","Professor 4","2025-03-13","Fácil","43.03","Reprovado"
648,"Aluno 130","Matéria 3","Professor 2","2025-03-13","Médio","11.75","Reprovado"
649,"Aluno 130","Matéria 7","Professor 6","2025-03-13","Difícil","84.89","Aprovado"
650,"Aluno 130","Matéria 8","Professor 5","2025-03-13","Fácil","96.19","Aprovado"
651,"Aluno 131","Matéria 3","Professor 4","2025-03-13","Difícil","62.60","Reprovado"
652,"Aluno 131","Matéria 6","Professor 6","2025-03-13","Médio","61.29","Reprovado"
653,"Aluno 131","Matéria 10","Professor 9","2025-03-13","Médio","88.65","Aprovado"
654,"Aluno 131","Matéria 3","Professor 1","2025-03-13","Médio","69.55","Reprovado"
655,"Aluno 131","Matéria 2","Professor 5","2025-03-13","Difícil","98.09","Aprovado"
656,"Aluno 132","Matéria 8","Professor 9","2025-03-13","Fácil","68.33","Reprovado"
657,"Aluno 132","Matéria 1","Professor 8","2025-03-13","Fácil","33.20","Reprovado"
658,"Aluno 132","Matéria 5","Professor 3","2025-03-13","Difícil","9.77","Reprovado"
659,"Aluno 132","Matéria 8","Professor 4","2025-03-13","Fácil","31.07","Reprovado"
660,"Aluno 132","Matéria 3","Professor 1","2025-03-13","Médio","16.21","Reprovado"
661,"Aluno 133","Matéria 8","Professor 4","2025-03-13","Fácil","7.32","Reprovado"
662,"Aluno 133","Matéria 7","Professor 1","2025-03-13","Fácil","67.06","Reprovado"
663,"Aluno 133","Matéria 2","Professor 4","2025-03-13","Médio","27.36","Reprovado"
664,"Aluno 133","Matéria 4","Professor 2","2025-03-13","Fácil","50.43","Reprovado"
665,"Aluno 133","Matéria 6","Professor 1","2025-03-13","Fácil","91.41","Aprovado"
666,"Aluno 134","Matéria 4","Professor 7","2025-03-13","Médio","65.52","Reprovado"
667,"Aluno 134","Matéria 4","Professor 2","2025-03-13","Fácil","49.25","Reprovado"
668,"Aluno 134","Matéria 2","Professor 9","2025-03-13","Fácil","56.42","Reprovado"
669,"Aluno 134","Matéria 6","Professor 3","2025-03-13","Médio","93.89","Aprovado"
670,"Aluno 134","Matéria 1","Professor 7","2025-03-13","Fácil","17.17","Reprovado"
671,"Aluno 135","Matéria 8","Professor 7","2025-03-13","Fácil","7.11","Reprovado"
672,"Aluno 135","Matéria 4","Professor 1","2025-03-13","Fácil","67.94","Reprovado"
673,"Aluno 135","Matéria 9","Professor 8","2025-03-13","Difícil","19.87","Reprovado"
674,"Aluno 135","Matéria 7","Professor 7","2025-03-13","Fácil","29.58","Reprovado"
675,"Aluno 135","Matéria 2","Professor 4","2025-03-13","Médio","25.08","Reprovado"
676,"Aluno 136","Matéria 1","Professor 4","2025-03-13","Fácil","37.29","Reprovado"
677,"Aluno 136","Matéria 8","Professor 10","2025-03-13","Fácil","38.72","Reprovado"
678,"Aluno 136","Matéria 6","Professor 5","2025-03-13","Fácil","11.81","Reprovado"
679,"Aluno 136","Matéria 1","Professor 3","2025-03-13","Médio","66.65","Reprovado"
680,"Aluno 136","Matéria 6","Professor 8","2025-03-13","Difícil","23.17","Reprovado"
681,"Aluno 137","Matéria 10","Professor 6","2025-03-13","Fácil","21.97","Reprovado"
682,"Aluno 137","Matéria 7","Professor 2","2025-03-13","Médio","76.96","Aprovado"
683,"Aluno 137","Matéria 4","Professor 3","2025-03-13","Difícil","92.86","Aprovado"
684,"Aluno 137","Matéria 4","Professor 9","2025-03-13","Difícil","54.29","Reprovado"
685,"Aluno 137","Matéria 6","Professor 10","2025-03-13","Fácil","32.72","Reprovado"
686,"Aluno 138","Matéria 9","Professor 5","2025-03-13","Difícil","76.00","Aprovado"
687,"Aluno 138","Matéria 8","Professor 7","2025-03-13","Difícil","15.57","Reprovado"
688,"Aluno 138","Matéria 7","Professor 5","2025-03-13","Fácil","34.82","Reprovado"
689,"Aluno 138","Matéria 4","Professor 9","2025-03-13","Médio","72.91","Aprovado"
690,"Aluno 138","Matéria 9","Professor 8","2025-03-13","Fácil","73.12","Aprovado"
691,"Aluno 139","Matéria 1","Professor 1","2025-03-13","Médio","77.90","Aprovado"
692,"Aluno 139","Matéria 8","Professor 6","2025-03-13","Médio","81.73","Aprovado"
693,"Aluno 139","Matéria 1","Professor 6","2025-03-13","Fácil","39.31","Reprovado"
694,"Aluno 139","Matéria 3","Professor 8","2025-03-13","Médio","45.10","Reprovado"
695,"Aluno 139","Matéria 8","Professor 2","2025-03-13","Fácil","60.13","Reprovado"
696,"Aluno 140","Matéria 7","Professor 7","2025-03-13","Fácil","52.23","Reprovado"
697,"Aluno 140","Matéria 6","Professor 3","2025-03-13","Difícil","94.28","Aprovado"
698,"Aluno 140","Matéria 10","Professor 6","2025-03-13","Difícil","10.07","Reprovado"
699,"Aluno 140","Matéria 7","Professor 10","2025-03-13","Difícil","18.99","Reprovado"
700,"Aluno 140","Matéria 5","Professor 7","2025-03-13","Médio","38.00","Reprovado"
701,"Aluno 141","Matéria 10","Professor 9","2025-03-13","Difícil","38.77","Reprovado"
702,"Aluno 141","Matéria 3","Professor 10","2025-03-13","Médio","83.58","Aprovado"
703,"Aluno 141","Matéria 7","Professor 8","2025-03-13","Difícil","96.52","Aprovado"
704,"Aluno 141","Matéria 10","Professor 3","2025-03-13","Médio","51.35","Reprovado"
705,"Aluno 141","Matéria 6","Professor 7","2025-03-13","Fácil","29.25","Reprovado"
706,"Aluno 142","Matéria 10","Professor 7","2025-03-13","Médio","48.80","Reprovado"
707,"Aluno 142","Matéria 5","Professor 4","2025-03-13","Fácil","91.86","Aprovado"
708,"Aluno 142","Matéria 5","Professor 3","2025-03-13","Médio","53.59","Reprovado"
709,"Aluno 142","Matéria 4","Professor 3","2025-03-13","Difícil","17.22","Reprovado"
710,"Aluno 142","Matéria 7","Professor 10","2025-03-13","Difícil","37.28","Reprovado"
711,"Aluno 143","Matéria 9","Professor 3","2025-03-13","Fácil","20.37","Reprovado"
712,"Aluno 143","Matéria 2","Professor 5","2025-03-13","Médio","97.43","Aprovado"
713,"Aluno 143","Matéria 7","Professor 5","2025-03-13","Difícil","89.41","Aprovado"
714,"Aluno 143","Matéria 1","Professor 2","2025-03-13","Difícil","80.53","Aprovado"
715,"Aluno 143","Matéria 6","Professor 3","2025-03-13","Difícil","35.14","Reprovado"
716,"Aluno 144","Matéria 8","Professor 5","2025-03-13","Médio","63.72","Reprovado"
717,"Aluno 144","Matéria 10","Professor 10","2025-03-13","Difícil","67.51","Reprovado"
718,"Aluno 144","Matéria 8","Professor 9","2025-03-13","Médio","67.53","Reprovado"
719,"Aluno 144","Matéria 9","Professor 6","2025-03-13","Fácil","20.44","Reprovado"
720,"Aluno 144","Matéria 8","Professor 9","2025-03-13","Difícil","21.09","Reprovado"
721,"Aluno 145","Matéria 4","Professor 7","2025-03-13","Médio","43.09","Reprovado"
722,"Aluno 145","Matéria 2","Professor 3","2025-03-13","Médio","1.23","Reprovado"
723,"Aluno 145","Matéria 9","Professor 7","2025-03-13","Médio","97.97","Aprovado"
724,"Aluno 145","Matéria 3","Professor 2","2025-03-13","Difícil","48.26","Reprovado"
725,"Aluno 145","Matéria 10","Professor 10","2025-03-13","Difícil","48.22","Reprovado"
726,"Aluno 146","Matéria 5","Professor 2","2025-03-13","Médio","92.13","Aprovado"
727,"Aluno 146","Matéria 1","Professor 4","2025-03-13","Médio","90.65","Aprovado"
728,"Aluno 146","Matéria 4","Professor 4","2025-03-13","Difícil","3.81","Reprovado"
729,"Aluno 146","Matéria 9","Professor 6","2025-03-13","Difícil","96.63","Aprovado"
730,"Aluno 146","Matéria 1","Professor 6","2025-03-13","Difícil","35.87","Reprovado"
731,"Aluno 147","Matéria 8","Professor 3","2025-03-13","Médio","31.48","Reprovado"
732,"Aluno 147","Matéria 9","Professor 9","2025-03-13","Difícil","78.08","Aprovado"
733,"Aluno 147","Matéria 5","Professor 7","2025-03-13","Médio","57.09","Reprovado"
734,"Aluno 147","Matéria 5","Professor 10","2025-03-13","Médio","85.70","Aprovado"
735,"Aluno 147","Matéria 1","Professor 7","2025-03-13","Fácil","15.38","Reprovado"
736,"Aluno 148","Matéria 6","Professor 7","2025-03-13","Fácil","74.94","Aprovado"
737,"Aluno 148","Matéria 1","Professor 7","2025-03-13","Difícil","71.62","Aprovado"
738,"Aluno 148","Matéria 9","Professor 4","2025-03-13","Médio","34.20","Reprovado"
739,"Aluno 148","Matéria 9","Professor 7","2025-03-13","Médio","98.13","Aprovado"
740,"Aluno 148","Matéria 1","Professor 3","2025-03-13","Difícil","45.06","Reprovado"
741,"Aluno 149","Matéria 9","Professor 2","2025-03-13","Médio","28.14","Reprovado"
742,"Aluno 149","Matéria 7","Professor 2","2025-03-13","Médio","66.26","Reprovado"
743,"Aluno 149","Matéria 5","Professor 8","2025-03-13","Médio","15.25","Reprovado"
744,"Aluno 149","Matéria 4","Professor 6","2025-03-13","Fácil","78.09","Aprovado"
745,"Aluno 149","Matéria 3","Professor 1","2025-03-13","Difícil","59.58","Reprovado"
746,"Aluno 150","Matéria 9","Professor 2","2025-03-13","Médio","0.09","Reprovado"
747,"Aluno 150","Matéria 10","Professor 1","2025-03-13","Médio","94.20","Aprovado"
748,"Aluno 150","Matéria 2","Professor 9","2025-03-13","Fácil","92.99","Aprovado"
749,"Aluno 150","Matéria 4","Professor 6","2025-03-13","Difícil","10.79","Reprovado"
750,"Aluno 150","Matéria 8","Professor 5","2025-03-13","Fácil","91.58","Aprovado"
751,"Aluno 151","Matéria 4","Professor 6","2025-03-13","Médio","30.97","Reprovado"
752,"Aluno 151","Matéria 5","Professor 8","2025-03-13","Difícil","22.77","Reprovado"
753,"Aluno 151","Matéria 3","Professor 5","2025-03-13","Médio","58.06","Reprovado"
754,"Aluno 151","Matéria 2","Professor 7","2025-03-13","Difícil","21.38","Reprovado"
755,"Aluno 151","Matéria 9","Professor 4","2025-03-13","Difícil","96.06","Aprovado"
756,"Aluno 152","Matéria 1","Professor 6","2025-03-13","Difícil","73.40","Aprovado"
757,"Aluno 152","Matéria 3","Professor 2","2025-03-13","Fácil","73.38","Aprovado"
758,"Aluno 152","Matéria 2","Professor 8","2025-03-13","Médio","69.00","Reprovado"
759,"Aluno 152","Matéria 6","Professor 5","2025-03-13","Difícil","54.11","Reprovado"
760,"Aluno 152","Matéria 6","Professor 6","2025-03-13","Fácil","5.05","Reprovado"
761,"Aluno 153","Matéria 1","Professor 8","2025-03-13","Difícil","67.04","Reprovado"
762,"Aluno 153","Matéria 5","Professor 3","2025-03-13","Médio","69.30","Reprovado"
763,"Aluno 153","Matéria 10","Professor 9","2025-03-13","Médio","2.17","Reprovado"
764,"Aluno 153","Matéria 6","Professor 9","2025-03-13","Fácil","32.86","Reprovado"
765,"Aluno 153","Matéria 1","Professor 9","2025-03-13","Médio","48.40","Reprovado"
766,"Aluno 154","Matéria 4","Professor 5","2025-03-13","Fácil","52.62","Reprovado"
767,"Aluno 154","Matéria 5","Professor 3","2025-03-13","Médio","75.71","Aprovado"
768,"Aluno 154","Matéria 3","Professor 9","2025-03-13","Médio","54.61","Reprovado"
769,"Aluno 154","Matéria 7","Professor 9","2025-03-13","Fácil","47.22","Reprovado"
770,"Aluno 154","Matéria 6","Professor 6","2025-03-13","Difícil","72.93","Aprovado"
771,"Aluno 155","Matéria 8","Professor 4","2025-03-13","Médio","78.59","Aprovado"
772,"Aluno 155","Matéria 9","Professor 4","2025-03-13","Difícil","56.48","Reprovado"
773,"Aluno 155","Matéria 9","Professor 5","2025-03-13","Fácil","83.63","Aprovado"
774,"Aluno 155","Matéria 9","Professor 10","2025-03-13","Fácil","71.69","Aprovado"
775,"Aluno 155","Matéria 9","Professor 9","2025-03-13","Médio","32.13","Reprovado"
776,"Aluno 156","Matéria 2","Professor 5","2025-03-13","Fácil","16.87","Reprovado"
777,"Aluno 156","Matéria 5","Professor 4","2025-03-13","Médio","87.66","Aprovado"
778,"Aluno 156","Matéria 7","Professor 9","2025-03-13","Fácil","54.58","Reprovado"
779,"Aluno 156","Matéria 10","Professor 3","2025-03-13","Médio","89.06","Aprovado"
780,"Aluno 156","Matéria 9","Professor 6","2025-03-13","Médio","43.36","Reprovado"
781,"Aluno 157","Matéria 5","Professor 8","2025-03-13","Fácil","70.18","Aprovado"
782,"Aluno 157","Matéria 1","Professor 4","2025-03-13","Médio","96.21","Aprovado"
783,"Aluno 157","Matéria 10","Professor 5","2025-03-13","Fácil","84.38","Aprovado"
784,"Aluno 157","Matéria 3","Professor 3","2025-03-13","Difícil","64.15","Reprovado"
785,"Aluno 157","Matéria 4","Professor 3","2025-03-13","Fácil","83.67","Aprovado"
786,"Aluno 158","Matéria 5","Professor 5","2025-03-13","Difícil","2.74","Reprovado"
787,"Aluno 158","Matéria 9","Professor 2","2025-03-13","Médio","26.33","Reprovado"
788,"Aluno 158","Matéria 9","Professor 1","2025-03-13","Fácil","5.83","Reprovado"
789,"Aluno 158","Matéria 6","Professor 9","2025-03-13","Difícil","81.86","Aprovado"
790,"Aluno 158","Matéria 1","Professor 2","2025-03-13","Médio","62.95","Reprovado"
791,"Aluno 159","Matéria 1","Professor 10","2025-03-13","Difícil","42.49","Reprovado"
792,"Aluno 159","Matéria 2","Professor 3","2025-03-13","Difícil","2.14","Reprovado"
793,"Aluno 159","Matéria 5","Professor 6","2025-03-13","Médio","3.09","Reprovado"
794,"Aluno 159","Matéria 1","Professor 10","2025-03-13","Médio","23.85","Reprovado"
795,"Aluno 159","Matéria 10","Professor 1","2025-03-13","Difícil","50.13","Reprovado"
796,"Aluno 160","Matéria 9","Professor 10","2025-03-13","Fácil","84.37","Aprovado"
797,"Aluno 160","Matéria 3","Professor 3","2025-03-13","Difícil","57.16","Reprovado"
798,"Aluno 160","Matéria 10","Professor 9","2025-03-13","Difícil","73.77","Aprovado"
799,"Aluno 160","Matéria 5","Professor 4","2025-03-13","Difícil","19.34","Reprovado"
800,"Aluno 160","Matéria 2","Professor 7","2025-03-13","Difícil","46.30","Reprovado"
801,"Aluno 161","Matéria 9","Professor 10","2025-03-13","Difícil","7.85","Reprovado"
802,"Aluno 161","Matéria 6","Professor 7","2025-03-13","Médio","68.39","Reprovado"
803,"Aluno 161","Matéria 10","Professor 3","2025-03-13","Fácil","68.73","Reprovado"
804,"Aluno 161","Matéria 4","Professor 4","2025-03-13","Fácil","57.13","Reprovado"
805,"Aluno 161","Matéria 9","Professor 10","2025-03-13","Fácil","72.97","Aprovado"
806,"Aluno 162","Matéria 8","Professor 4","2025-03-13","Fácil","98.46","Aprovado"
807,"Aluno 162","Matéria 3","Professor 8","2025-03-13","Médio","11.43","Reprovado"
808,"Aluno 162","Matéria 10","Professor 8","2025-03-13","Médio","21.73","Reprovado"
809,"Aluno 162","Matéria 4","Professor 9","2025-03-13","Difícil","97.82","Aprovado"
810,"Aluno 162","Matéria 3","Professor 7","2025-03-13","Médio","42.82","Reprovado"
811,"Aluno 163","Matéria 4","Professor 8","2025-03-13","Médio","7.29","Reprovado"
812,"Aluno 163","Matéria 3","Professor 10","2025-03-13","Difícil","14.94","Reprovado"
813,"Aluno 163","Matéria 3","Professor 8","2025-03-13","Difícil","37.68","Reprovado"
814,"Aluno 163","Matéria 7","Professor 2","2025-03-13","Médio","12.75","Reprovado"
815,"Aluno 163","Matéria 7","Professor 8","2025-03-13","Médio","98.11","Aprovado"
816,"Aluno 164","Matéria 1","Professor 1","2025-03-13","Difícil","86.10","Aprovado"
817,"Aluno 164","Matéria 10","Professor 1","2025-03-13","Médio","11.46","Reprovado"
818,"Aluno 164","Matéria 9","Professor 8","2025-03-13","Difícil","96.12","Aprovado"
819,"Aluno 164","Matéria 5","Professor 7","2025-03-13","Fácil","49.64","Reprovado"
820,"Aluno 164","Matéria 10","Professor 10","2025-03-13","Difícil","82.71","Aprovado"
821,"Aluno 165","Matéria 6","Professor 2","2025-03-13","Fácil","23.88","Reprovado"
822,"Aluno 165","Matéria 10","Professor 5","2025-03-13","Difícil","44.24","Reprovado"
823,"Aluno 165","Matéria 3","Professor 5","2025-03-13","Difícil","85.76","Aprovado"
824,"Aluno 165","Matéria 7","Professor 8","2025-03-13","Fácil","26.34","Reprovado"
825,"Aluno 165","Matéria 6","Professor 8","2025-03-13","Difícil","81.26","Aprovado"
826,"Aluno 166","Matéria 2","Professor 3","2025-03-13","Fácil","3.64","Reprovado"
827,"Aluno 166","Matéria 2","Professor 2","2025-03-13","Fácil","65.55","Reprovado"
828,"Aluno 166","Matéria 5","Professor 10","2025-03-13","Médio","2.19","Reprovado"
829,"Aluno 166","Matéria 10","Professor 7","2025-03-13","Médio","26.00","Reprovado"
830,"Aluno 166","Matéria 8","Professor 9","2025-03-13","Fácil","2.77","Reprovado"
831,"Aluno 167","Matéria 1","Professor 3","2025-03-13","Fácil","7.06","Reprovado"
832,"Aluno 167","Matéria 10","Professor 4","2025-03-13","Difícil","57.62","Reprovado"
833,"Aluno 167","Matéria 3","Professor 6","2025-03-13","Médio","74.61","Aprovado"
834,"Aluno 167","Matéria 6","Professor 2","2025-03-13","Médio","58.48","Reprovado"
835,"Aluno 167","Matéria 7","Professor 6","2025-03-13","Difícil","53.94","Reprovado"
836,"Aluno 168","Matéria 8","Professor 7","2025-03-13","Difícil","59.25","Reprovado"
837,"Aluno 168","Matéria 7","Professor 5","2025-03-13","Médio","69.15","Reprovado"
838,"Aluno 168","Matéria 4","Professor 10","2025-03-13","Difícil","54.17","Reprovado"
839,"Aluno 168","Matéria 6","Professor 8","2025-03-13","Difícil","76.57","Aprovado"
840,"Aluno 168","Matéria 8","Professor 9","2025-03-13","Médio","99.95","Aprovado"
841,"Aluno 169","Matéria 5","Professor 8","2025-03-13","Médio","69.73","Reprovado"
842,"Aluno 169","Matéria 8","Professor 9","2025-03-13","Difícil","99.92","Aprovado"
843,"Aluno 169","Matéria 2","Professor 2","2025-03-13","Difícil","78.62","Aprovado"
844,"Aluno 169","Matéria 9","Professor 10","2025-03-13","Difícil","6.99","Reprovado"
845,"Aluno 169","Matéria 10","Professor 6","2025-03-13","Fácil","85.94","Aprovado"
846,"Aluno 170","Matéria 9","Professor 1","2025-03-13","Difícil","36.48","Reprovado"
847,"Aluno 170","Matéria 10","Professor 7","2025-03-13","Difícil","86.48","Aprovado"
848,"Aluno 170","Matéria 6","Professor 5","2025-03-13","Médio","56.48","Reprovado"
849,"Aluno 170","Matéria 2","Professor 4","2025-03-13","Médio","71.94","Aprovado"
850,"Aluno 170","Matéria 6","Professor 7","2025-03-13","Fácil","94.02","Aprovado"
851,"Aluno 171","Matéria 10","Professor 3","2025-03-13","Difícil","73.78","Aprovado"
852,"Aluno 171","Matéria 3","Professor 6","2025-03-13","Fácil","53.32","Reprovado"
853,"Aluno 171","Matéria 9","Professor 3","2025-03-13","Médio","65.11","Reprovado"
854,"Aluno 171","Matéria 8","Professor 10","2025-03-13","Fácil","81.70","Aprovado"
855,"Aluno 171","Matéria 10","Professor 3","2025-03-13","Difícil","11.95","Reprovado"
856,"Aluno 172","Matéria 1","Professor 3","2025-03-13","Fácil","45.54","Reprovado"
857,"Aluno 172","Matéria 9","Professor 6","2025-03-13","Difícil","76.26","Aprovado"
858,"Aluno 172","Matéria 6","Professor 1","2025-03-13","Médio","10.33","Reprovado"
859,"Aluno 172","Matéria 10","Professor 6","2025-03-13","Difícil","14.32","Reprovado"
860,"Aluno 172","Matéria 1","Professor 7","2025-03-13","Difícil","84.59","Aprovado"
861,"Aluno 173","Matéria 8","Professor 4","2025-03-13","Médio","23.56","Reprovado"
862,"Aluno 173","Matéria 6","Professor 10","2025-03-13","Médio","26.98","Reprovado"
863,"Aluno 173","Matéria 8","Professor 7","2025-03-13","Fácil","98.64","Aprovado"
864,"Aluno 173","Matéria 5","Professor 10","2025-03-13","Médio","13.04","Reprovado"
865,"Aluno 173","Matéria 1","Professor 3","2025-03-13","Médio","58.04","Reprovado"
866,"Aluno 174","Matéria 5","Professor 7","2025-03-13","Médio","98.78","Aprovado"
867,"Aluno 174","Matéria 6","Professor 3","2025-03-13","Fácil","11.21","Reprovado"
868,"Aluno 174","Matéria 2","Professor 3","2025-03-13","Fácil","68.63","Reprovado"
869,"Aluno 174","Matéria 6","Professor 10","2025-03-13","Fácil","40.70","Reprovado"
870,"Aluno 174","Matéria 5","Professor 4","2025-03-13","Difícil","57.22","Reprovado"
871,"Aluno 175","Matéria 4","Professor 5","2025-03-13","Fácil","95.62","Aprovado"
872,"Aluno 175","Matéria 3","Professor 5","2025-03-13","Difícil","22.24","Reprovado"
873,"Aluno 175","Matéria 7","Professor 9","2025-03-13","Fácil","37.37","Reprovado"
874,"Aluno 175","Matéria 7","Professor 3","2025-03-13","Fácil","82.32","Aprovado"
875,"Aluno 175","Matéria 7","Professor 10","2025-03-13","Difícil","94.99","Aprovado"
876,"Aluno 176","Matéria 3","Professor 8","2025-03-13","Difícil","71.79","Aprovado"
877,"Aluno 176","Matéria 8","Professor 7","2025-03-13","Difícil","78.79","Aprovado"
878,"Aluno 176","Matéria 6","Professor 6","2025-03-13","Difícil","89.99","Aprovado"
879,"Aluno 176","Matéria 6","Professor 3","2025-03-13","Difícil","85.99","Aprovado"
880,"Aluno 176","Matéria 1","Professor 3","2025-03-13","Difícil","77.22","Aprovado"
881,"Aluno 177","Matéria 1","Professor 8","2025-03-13","Fácil","33.87","Reprovado"
882,"Aluno 177","Matéria 4","Professor 4","2025-03-13","Difícil","27.51","Reprovado"
883,"Aluno 177","Matéria 7","Professor 2","2025-03-13","Fácil","98.13","Aprovado"
884,"Aluno 177","Matéria 5","Professor 9","2025-03-13","Difícil","74.00","Aprovado"
885,"Aluno 177","Matéria 6","Professor 2","2025-03-13","Médio","44.24","Reprovado"
